,sign,freq,city,format,state,geometry
0,K201AD,88.1,"China Lake, Etc., CA",Public Radio,CA,
1,K201AE,88.1,"Coalville, Etc., UT",Public Radio,UT,
2,K201AG,88.1,"Nuiqsut, AK",Public Radio,AK,
3,K201AH,88.1,"Kaktovik, AK",Public Radio,AK,
4,K201AJ,88.1,"South Lake Tahoe, CA",Classical,CA,
5,K201AL,88.1,"Port Protection, AK",Public Radio,AK,
6,K201AM,88.1,"Gustavus, AK",Public Radio,AK,
7,K201AO,88.1,"Seward, AK",Public Radio,AK,
8,K201AP,88.1,"Belle Fourche, SD",Public Radio,SD,
9,K201AQ,88.1,"Hot Springs, SD",Public Radio,SD,
10,K201AV,88.1,"Point Lay, AK",Public Radio,AK,
11,K201BF,88.1,"Scotty's Junction, NV",Public Radio,NV,
12,K201BI,88.1,"Cordova, AK",Public Radio,AK,
13,K201BK,88.1,"Coquille, OR",Classical,OR,
14,K201BM,88.1,"Canadian, TX",Religious,TX,
15,K201BV,88.1,"Benicia-Martinez, CA",Public Radio,CA,
16,K201BW,88.1,"La Crescent, MN",Public Radio,MN,
17,K201BY,88.1,"Delta, Etc., UT",Public Radio,UT,
18,K201CC,88.1,"Las Cruces, NM",Religious,NM,
19,K201CF,88.1,"Ticaboo, UT",Public Radio,UT,
20,K201CH,88.1,"Chenega Bay, AK",Public Radio,AK,
21,K201CL,88.1,"Tatitlek, AK",Public Radio,AK,
22,K201CO,88.1,"Shelby, MT",Religious,MT,
23,K201CW,88.1,"Moab, UT",Religious,UT,
24,K201DA,88.1,"King Cove, AK",Public Radio,AK,
25,K201DH,88.1,"Pendleton, OR",Religious,OR,
26,K201DI,88.1,"Grants Pass, OR",Religious,OR,
27,K201DP,88.1,"Saint George, UT",Religious,UT,
28,K201DV,88.1,"Brookings, OR",Religious,OR,
29,K201DX,88.1,"Walla Walla, WA",Christian Contemporary,WA,
30,K201DZ,88.1,"Port Bolivar, TX",Spanish Christian,TX,
31,K201EC,88.1,"Manitou Springs, CO",Christian Contemporary,CO,
32,K201EG,88.1,"Ketchikan, AK",Christian Contemporary,AK,
33,K201EN,88.1,"Everett, WA",Christian Contemporary,WA,
